Name	Class
Hepatitis, Alcoholic	Digestive System Diseases
Hepatitis, Chronic	Digestive System Diseases
Hepatoblastoma	Neoplasms
Hirschsprung Disease	Digestive System Diseases
Hodgkin Disease	Neoplasms
Huntington Disease	Nervous System Diseases
Hyperglycemia	Nutritional and Metabolic Diseases
Hypertension	Cardiovascular Diseases
Hypertension, Pulmonary	Respiratory Tract Diseases
Hypertrophy	Others
Hypoxia-Ischemia, Brain	Nervous System Diseases
Idiopathic Pulmonary Fibrosis	Respiratory Tract Diseases
Infection	Bacterial Infections and Mycoses
Inferior Wall Myocardial Infarction	Cardiovascular Diseases
Infertility	Urogenital Diseases and Pregnancy Complications
Infertility, Male	Urogenital Diseases and Pregnancy Complications
Inflammation	Others
Inflammatory Bowel Diseases	Digestive System Diseases
Intervertebral Disc Degeneration	Musculoskeletal Diseases
Irritable Bowel Syndrome	Digestive System Diseases
Ischemia	Others
Kidney Diseases	Urogenital Diseases and Pregnancy Complications
Kidney Failure, Chronic	Urogenital Diseases and Pregnancy Complications
Kidney Neoplasms	Neoplasms
Laryngeal Neoplasms	Neoplasms
Leiomyoma	Neoplasms
Leukemia	Neoplasms
Leukemia, B-Cell	Neoplasms
Leukemia, Biphenotypic, Acute	Neoplasms
Leukemia, Lymphocytic, Chronic, B-Cell	Neoplasms
Leukemia, Lymphoid	Neoplasms
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	Neoplasms
Leukemia, Myeloid	Neoplasms
Leukemia, Myeloid, Acute	Neoplasms
Leukemia, Promyelocytic, Acute	Neoplasms
Leukemia-Lymphoma, Adult T-Cell	Neoplasms
Lichen Planus	Skin and Connective Tissue Diseases
Lichen Planus, Oral	Skin and Connective Tissue Diseases
Liver Cirrhosis	Digestive System Diseases
Liver Cirrhosis, Biliary	Digestive System Diseases
Liver Diseases	Digestive System Diseases
Liver Diseases, Alcoholic	Digestive System Diseases
Liver Failure	Digestive System Diseases
Liver Neoplasms	Neoplasms
Lung Diseases, Interstitial	Respiratory Tract Diseases
Lung Neoplasms	Neoplasms
Lupus Erythematosus, Systemic	Immune System Diseases
Lupus Nephritis	Immune System Diseases
Lymphoma	Neoplasms
Lymphoma, B-Cell	Neoplasms
Lymphoma, Large B-Cell, Diffuse	Neoplasms
Lymphoma, Mantle-Cell	Neoplasms
Lymphoma, Non-Hodgkin	Neoplasms
Lymphoma, Primary Effusion	Neoplasms
Lymphoma, T-Cell	Neoplasms
Macular Degeneration	Others
Medulloblastoma	Neoplasms
Melanoma	Neoplasms
Meningioma	Neoplasms
Mesothelioma	Neoplasms
Mitochondrial Diseases	Nutritional and Metabolic Diseases
Mouth Neoplasms	Neoplasms
Mucocutaneous Lymph Node Syndrome	Skin and Connective Tissue Diseases
Multiple Endocrine Neoplasia Type 1	Neoplasms
Multiple Myeloma	Neoplasms
Multiple Sclerosis	Immune System Diseases
Muscular Atrophy	Nervous System Diseases
Muscular Atrophy, Spinal	Nervous System Diseases
Muscular Dystrophies	Nervous System Diseases
Muscular Dystrophy, Facioscapulohumeral	Nervous System Diseases
Musculoskeletal Abnormalities	Musculoskeletal Diseases
Mycosis Fungoides	Immune System Diseases
Myelodysplastic Syndromes	Hemic and Lymphatic Diseases
Myocardial Infarction	Cardiovascular Diseases
Myocardial Ischemia	Cardiovascular Diseases
Myocardial Reperfusion Injury	Cardiovascular Diseases
Myositis	Nervous System Diseases
Myotonic Dystrophy	Nervous System Diseases
Nasopharyngeal Neoplasms	Neoplasms
Neoplasms	Neoplasms
Nephrosclerosis	Urogenital Diseases and Pregnancy Complications
Nephrotic Syndrome	Urogenital Diseases and Pregnancy Complications
Nervous System Diseases	Nervous System Diseases
Neurilemmoma	Neoplasms
Neuroblastoma	Neoplasms
Neurodegenerative Diseases	Nervous System Diseases
Neuroma	Neoplasms
Neurotoxicity Syndromes	Nervous System Diseases
Niemann-Pick Disease, Type C	Nervous System Diseases
Non-alcoholic Fatty Liver Disease	Digestive System Diseases
Obesity	Nutritional and Metabolic Diseases
Osteoarthritis	Musculoskeletal Diseases
Osteoarthritis, Knee	Musculoskeletal Diseases
Osteogenesis Imperfecta	Musculoskeletal Diseases
Osteonecrosis	Musculoskeletal Diseases
Osteoporosis	Nutritional and Metabolic Diseases
Osteosarcoma	Neoplasms
Otitis Media	Others
Ovarian Neoplasms	Neoplasms
Pancreatic Neoplasms	Neoplasms
Pancreatitis, Acute Necrotizing	Digestive System Diseases
Papillomaviridae	Others
Parkinson Disease	Nervous System Diseases
Periodontal Diseases	Others
Periodontitis	Others
Peritonitis	Bacterial Infections and Mycoses
Pheochromocytoma	Neoplasms
Pituitary Neoplasms	Neoplasms
Polycystic Ovary Syndrome	Nutritional and Metabolic Diseases
Polycythemia Vera	Hemic and Lymphatic Diseases
Pre-Eclampsia	Urogenital Diseases and Pregnancy Complications
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	Neoplasms
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	Neoplasms
Pregnancy, Ectopic	Urogenital Diseases and Pregnancy Complications
Prion Diseases	Nervous System Diseases
Prolactinoma	Neoplasms
Prostatic Neoplasms	Neoplasms
Psoriasis	Skin and Connective Tissue Diseases
Pulmonary Disease, Chronic Obstructive	Respiratory Tract Diseases
Pulmonary Fibrosis	Respiratory Tract Diseases
Rectal Neoplasms	Neoplasms
Reperfusion Injury	Cardiovascular Diseases
Respiratory Distress Syndrome, Adult	Respiratory Tract Diseases
Respiratory Syncytial Virus Infections	Virus Diseases
Retinal Degeneration	Others
Retinal Neovascularization	Others
Retinitis Pigmentosa	Others
Retinoblastoma	Neoplasms
Rhabdomyosarcoma	Neoplasms
Rhinitis, Allergic	Immune System Diseases
Rhinitis, Allergic, Perennial	Immune System Diseases
Rhinitis, Vasomotor	Respiratory Tract Diseases
Salivary Gland Neoplasms	Neoplasms
Salmonella Infections	Bacterial Infections and Mycoses
Sarcoma	Neoplasms
Sarcoma, Ewing	Neoplasms
Sarcoma, Kaposi	Neoplasms
Sarcoma, Synovial	Neoplasms
Schistosomiasis japonica	Parasitic Diseases
Schizophrenia	Others
Scleroderma, Localized	Skin and Connective Tissue Diseases
Scleroderma, Systemic	Skin and Connective Tissue Diseases
Seizures	Nervous System Diseases
Seminoma	Neoplasms
Sepsis	Bacterial Infections and Mycoses
Sezary Syndrome	Immune System Diseases
Shock, Hemorrhagic	Others
Sjogren's Syndrome	Immune System Diseases
Small Cell Lung Carcinoma	Neoplasms
Solitary Fibrous Tumor, Pleural	Neoplasms
Spinal Cord Injuries	Nervous System Diseases
Spinal Stenosis	Musculoskeletal Diseases
Spondylitis, Ankylosing	Musculoskeletal Diseases
Squamous Cell Carcinoma, Esophageal	Neoplasms
Squamous Cell Carcinoma, Head and Neck	Neoplasms
Stomach Neoplasms	Neoplasms
Stroke	Nervous System Diseases
Subarachnoid Hemorrhage	Cardiovascular Diseases
Telangiectasia, Hereditary Hemorrhagic	Cardiovascular Diseases
Testicular Neoplasms	Neoplasms
Thrombocythemia, Essential	Hemic and Lymphatic Diseases
Thyroid Carcinoma, Anaplastic	Neoplasms
Thyroid Neoplasms	Neoplasms
Thyroiditis, Autoimmune	Immune System Diseases
Toxoplasmosis	Parasitic Diseases
Triple Negative Breast Neoplasms	Neoplasms
Tuberculosis	Bacterial Infections and Mycoses
Tuberculosis, Pulmonary	Bacterial Infections and Mycoses
Urinary Bladder Neoplasms	Neoplasms
Uterine Cervical Neoplasms	Neoplasms
Uveal Melanoma	Neoplasms
Vitiligo	Skin and Connective Tissue Diseases
Waldenstrom Macroglobulinemia	Immune System Diseases
