Disease1	Disease2	Similarity	Similarity_abs	Direction
Acute Kidney Injury	Carcinoma, Thyroid, Medullary	0.11587965736540003	0.11587965736540003	+
Acute Lung Injury	Carcinoma, Thyroid, Medullary	0.10869406372508099	0.10869406372508099	+
Adenocarcinoma, Esophageal	Carcinoma, Thyroid, Medullary	0.07937857329497763	0.07937857329497763	+
Adenocarcinoma, Lung	Carcinoma, Thyroid, Medullary	0.14977863449625578	0.14977863449625578	+
Atherosclerosis	Carcinoma, Thyroid, Medullary	0.08528550480722805	0.08528550480722805	+
Carcinoma, Ductal	Carcinoma, Thyroid, Medullary	0.2995442538127281	0.2995442538127281	+
Carcinoma, Ehrlich Tumor	Carcinoma, Thyroid, Medullary	0.10877917055673367	0.10877917055673367	+
Carcinoma, Neuroendocrine	Carcinoma, Thyroid, Medullary	0.24569998940194915	0.24569998940194915	+
Carcinoma, Pancreatic	Carcinoma, Thyroid, Medullary	0.05543398989005965	0.05543398989005965	+
Carcinoma, Skin Appendage	Carcinoma, Thyroid, Medullary	0.2995442538127281	0.2995442538127281	+
Adenocarcinoma, Esophageal	Carcinoma, Thyroid, Papillary	0.11276797046288813	0.11276797046288813	+
Alopecia	Carcinoma, Thyroid, Papillary	0.10530622995286681	0.10530622995286681	+
Amyotrophic Lateral Sclerosis	Carcinoma, Thyroid, Papillary	0.07186905465048365	0.07186905465048365	+
Atherosclerosis	Carcinoma, Thyroid, Papillary	0.23538670529987768	0.23538670529987768	+
Atrial Fibrillation	Carcinoma, Thyroid, Papillary	0.07109481861323334	0.07109481861323334	+
Azoospermia	Carcinoma, Thyroid, Papillary	-0.08999335914525683	0.08999335914525683	-
Carcinoma, Squamous Cell	Carcinoma, Thyroid, Papillary	-0.07091562077106991	0.07091562077106991	-
Aortic Aneurysm, Thoracic	Cardiomegaly	0.17115056018490135	0.17115056018490135	+
Carcinoma, Thyroid, Papillary	Cardiomyopathy, Alcoholic	-0.07681265112036882	0.07681265112036882	-
Aortic Aneurysm, Thoracic	Cardiomyopathy, Dilated	-0.08909448328758454	0.08909448328758454	-
Atherosclerosis	Cardiomyopathy, Dilated	0.05941569783572944	0.05941569783572944	+
Adrenal Cortex Neoplasms	Cardiomyopathy, Hypertrophic	-0.051727918955580786	0.051727918955580786	-
Aortic Aneurysm, Thoracic	Cardiomyopathy, Hypertrophic	-0.10544970518189307	0.10544970518189307	-
Astrocytoma	Cardiomyopathy, Hypertrophic	0.11135861159220116	0.11135861159220116	+
Biliary Tract Neoplasms	Cardiomyopathy, Hypertrophic	0.06951941517247082	0.06951941517247082	+
Carcinoma, Nasopharyngeal	Cardiomyopathy, Hypertrophic	-0.08368211103117773	0.08368211103117773	-
Carcinoma, Pancreatic	Cardiomyopathy, Hypertrophic	-0.07636421234180531	0.07636421234180531	-
Carcinoma, Renal Cell	Cardiomyopathy, Hypertrophic	-0.05344649918269954	0.05344649918269954	-
Carcinoma, Squamous Cell	Cardiomyopathy, Hypertrophic	0.060179293873343136	0.060179293873343136	+
Cardiomyopathy, Dilated	Cardiomyopathy, Hypertrophic	0.05394865254254707	0.05394865254254707	+
Alzheimer Disease	Cardiotoxicity	-0.06112267949719775	0.06112267949719775	-
Aortic Aneurysm, Thoracic	Cardiovascular Diseases	0.12995334619505772	0.12995334619505772	+
Aortic Valve Insufficiency	Cardiovascular Diseases	-0.07140634715643897	0.07140634715643897	-
Aortic Valve Stenosis	Cardiovascular Diseases	-0.07140634715643897	0.07140634715643897	-
Astrocytoma	Cardiovascular Diseases	0.05100800640284154	0.05100800640284154	+
Carcinoma, Merkel Cell	Cardiovascular Diseases	-0.09742747181095934	0.09742747181095934	-
Carcinoma, Pancreatic Ductal	Cardiovascular Diseases	0.050554183619498844	0.050554183619498844	+
Carcinoma, Thyroid, Medullary	Cardiovascular Diseases	0.06403252620941197	0.06403252620941197	+
Carcinoma, Pancreatic	Cataract	-0.0950323907979559	0.0950323907979559	-
Acute Kidney Injury	Cholangiocarcinoma	0.07543733367728518	0.07543733367728518	+
Acute Lung Injury	Cholangiocarcinoma	0.07333333184758298	0.07333333184758298	+
Adenocarcinoma, Esophageal	Cholangiocarcinoma	0.05085209070304008	0.05085209070304008	+
Atherosclerosis	Cholangiocarcinoma	0.08770633390377341	0.08770633390377341	+
Azoospermia	Cholangiocarcinoma	0.050802025416866445	0.050802025416866445	+
Carcinoma, Ductal	Cholangiocarcinoma	0.10279030234108741	0.10279030234108741	+
Carcinoma, Ehrlich Tumor	Cholangiocarcinoma	0.06597632659544049	0.06597632659544049	+
Carcinoma, Neuroendocrine	Cholangiocarcinoma	0.09788301444367617	0.09788301444367617	+
Carcinoma, Pancreatic	Cholangiocarcinoma	0.051205225811513634	0.051205225811513634	+
Carcinoma, Skin Appendage	Cholangiocarcinoma	0.10279030234108741	0.10279030234108741	+
Carcinoma, Thyroid, Medullary	Cholangiocarcinoma	0.182579247484479	0.182579247484479	+
Cardiovascular Diseases	Cholangiocarcinoma	0.055821276231778065	0.055821276231778065	+
Adenocarcinoma, Esophageal	Cholesteatoma	0.0568663562334801	0.0568663562334801	+
Adrenocortical Carcinoma	Cholesteatoma	0.06313028639979104	0.06313028639979104	+
Alopecia	Cholesteatoma	0.05207498178664667	0.05207498178664667	+
Atherosclerosis	Cholesteatoma	0.06575080919840758	0.06575080919840758	+
Carcinoma, Non-Small-Cell Lung	Cholesteatoma	-0.09138129332110759	0.09138129332110759	-
Carcinoma, Thyroid, Papillary	Cholesteatoma	0.10080755023228623	0.10080755023228623	+
Azoospermia	Chondrosarcoma	0.05582932071369564	0.05582932071369564	+
Acquired Immunodeficiency Syndrome	Chorioamnionitis	-0.13140787897578257	0.13140787897578257	-
Aortic Aneurysm, Abdominal	Chorioamnionitis	0.08570277702622922	0.08570277702622922	+
Arthritis, Rheumatoid	Chorioamnionitis	0.09124085245470479	0.09124085245470479	+
Atherosclerosis	Chorioamnionitis	0.06963637633148143	0.06963637633148143	+
Acquired Immunodeficiency Syndrome	Choriocarcinoma	-0.05526932963436176	0.05526932963436176	-
Adenocarcinoma, Esophageal	Choriocarcinoma	0.16859452651176085	0.16859452651176085	+
Asthma	Choriocarcinoma	0.0509993909071143	0.0509993909071143	+
Atherosclerosis	Choriocarcinoma	0.11634329763537167	0.11634329763537167	+
Carcinoma, Merkel Cell	Choriocarcinoma	0.08947238702824081	0.08947238702824081	+
Carcinoma, Thyroid, Papillary	Choriocarcinoma	0.1304667757922605	0.1304667757922605	+
Cholesteatoma	Choriocarcinoma	0.058638836655914954	0.058638836655914954	+
Chondrosarcoma	Choriocarcinoma	0.06147214617139117	0.06147214617139117	+
Chorioamnionitis	Choriocarcinoma	0.08708280173982125	0.08708280173982125	+
Azoospermia	Colitis	-0.07337447174537515	0.07337447174537515	-
Barrett Esophagus	Colitis	0.061885731958606145	0.061885731958606145	+
Carcinoma, Ehrlich Tumor	Colitis	-0.12584032725991492	0.12584032725991492	-
Adenocarcinoma, Lung	Colitis, Ulcerative	-0.07063674487144105	0.07063674487144105	-
Aneurysm	Colitis, Ulcerative	0.07666573924679884	0.07666573924679884	+
Aortic Aneurysm	Colitis, Ulcerative	-0.14491287816296192	0.14491287816296192	-
Arthritis, Rheumatoid	Colitis, Ulcerative	0.06650281308463753	0.06650281308463753	+
Atherosclerosis	Colitis, Ulcerative	0.09729103812178165	0.09729103812178165	+
Carcinoma, Colon	Colitis, Ulcerative	0.08575112400924312	0.08575112400924312	+
Carcinoma, Ductal	Colitis, Ulcerative	0.08105307340879897	0.08105307340879897	+
Carcinoma, Neuroendocrine	Colitis, Ulcerative	0.19964982687277924	0.19964982687277924	+
Carcinoma, Skin Appendage	Colitis, Ulcerative	0.08105307340879897	0.08105307340879897	+
Carcinoma, Thyroid, Medullary	Colitis, Ulcerative	0.11102226337212846	0.11102226337212846	+
Cholangiocarcinoma	Colitis, Ulcerative	0.07403161521784127	0.07403161521784127	+
Choriocarcinoma	Colitis, Ulcerative	-0.06340759903124052	0.06340759903124052	-
Autoimmune Diseases	Colorectal Adenocarcinoma	0.05083957113146179	0.05083957113146179	+
Barrett Esophagus	Colorectal Adenocarcinoma	-0.13509503597323738	0.13509503597323738	-
Carcinoma, Non-Small-Cell Lung	Colorectal Adenocarcinoma	0.07169094274809161	0.07169094274809161	+
Cholesteatoma	Colorectal Adenocarcinoma	-0.11914957526956688	0.11914957526956688	-
Choriocarcinoma	Colorectal Adenocarcinoma	0.06282222690754341	0.06282222690754341	+
Adrenocortical Carcinoma	Colorectal Neoplasms	0.05971148596113841	0.05971148596113841	+
Breast Neoplasms	Colorectal Neoplasms	0.06020674365352276	0.06020674365352276	+
Cholesteatoma	Colorectal Neoplasms	0.06054483004946186	0.06054483004946186	+
Colorectal Adenocarcinoma	Colorectal Neoplasms	0.06754101913479119	0.06754101913479119	+
Aortic Aneurysm, Thoracic	Coronary Artery Disease	-0.20027694270568103	0.20027694270568103	-
Autoimmune Diseases	Coronary Artery Disease	0.09226629504776716	0.09226629504776716	+
Carcinoma, Nasopharyngeal	Coronary Artery Disease	-0.06896961880262387	0.06896961880262387	-
Carcinoma, Thyroid, Medullary	Coronary Artery Disease	0.06184858266444186	0.06184858266444186	+
Cardiomegaly	Coronary Artery Disease	-0.15233358762296045	0.15233358762296045	-
Cardiomyopathy, Hypertrophic	Coronary Artery Disease	0.05715792803820619	0.05715792803820619	+
Cholangiocarcinoma	Coronary Artery Disease	0.05469874892214308	0.05469874892214308	+
Aortic Aneurysm, Abdominal	Creutzfeldt-Jakob Syndrome	0.06831297936221357	0.06831297936221357	+
Arthritis, Rheumatoid	Creutzfeldt-Jakob Syndrome	0.0981376258187358	0.0981376258187358	+
Aortic Aneurysm, Abdominal	Crohn Disease	0.06473593719737351	0.06473593719737351	+
Arthritis, Rheumatoid	Crohn Disease	0.14519886086177208	0.14519886086177208	+
Atrial Fibrillation	Crohn Disease	-0.05771422614802444	0.05771422614802444	-
Creutzfeldt-Jakob Syndrome	Crohn Disease	0.084463511772118	0.084463511772118	+
Carcinoma, Hepatocellular	Cystitis, Interstitial	0.05239722212424564	0.05239722212424564	+
Acute Kidney Injury	Demyelinating Diseases	0.07665376467489725	0.07665376467489725	+
Acute Lung Injury	Demyelinating Diseases	0.0704887656097347	0.0704887656097347	+
Arthritis, Rheumatoid	Demyelinating Diseases	0.07306065289173035	0.07306065289173035	+
Atherosclerosis	Demyelinating Diseases	0.12085973593462897	0.12085973593462897	+
Carcinoma, Ductal	Demyelinating Diseases	0.4059761767809975	0.4059761767809975	+
Carcinoma, Neuroendocrine	Demyelinating Diseases	1.0	1.0	+
Carcinoma, Skin Appendage	Demyelinating Diseases	0.4059761767809975	0.4059761767809975	+
Carcinoma, Thyroid, Medullary	Demyelinating Diseases	0.24569998940194915	0.24569998940194915	+
Cholangiocarcinoma	Demyelinating Diseases	0.09788301444367617	0.09788301444367617	+
Colitis, Ulcerative	Demyelinating Diseases	0.19964982687277924	0.19964982687277924	+
Acquired Immunodeficiency Syndrome	Dermatitis, Atopic	-0.07292157978278954	0.07292157978278954	-
Acute Kidney Injury	Dermatitis, Atopic	0.06459137772343598	0.06459137772343598	+
Acute Lung Injury	Dermatitis, Atopic	0.062295846192679416	0.062295846192679416	+
Adenocarcinoma, Esophageal	Dermatitis, Atopic	0.06719545848147244	0.06719545848147244	+
Alopecia	Dermatitis, Atopic	-0.10615220481329624	0.10615220481329624	-
Amyotrophic Lateral Sclerosis	Dermatitis, Atopic	-0.15976606251860295	0.15976606251860295	-
Aortic Aneurysm, Abdominal	Dermatitis, Atopic	0.056269233013120326	0.056269233013120326	+
Arteriosclerosis Obliterans	Dermatitis, Atopic	-0.13092312116257626	0.13092312116257626	-
Arthritis, Rheumatoid	Dermatitis, Atopic	0.0769556816848169	0.0769556816848169	+
Atherosclerosis	Dermatitis, Atopic	0.2007733846480736	0.2007733846480736	+
Carcinoma, Ductal	Dermatitis, Atopic	0.09812863698003499	0.09812863698003499	+
Carcinoma, Neuroendocrine	Dermatitis, Atopic	0.09155577056002137	0.09155577056002137	+
Carcinoma, Skin Appendage	Dermatitis, Atopic	0.09812863698003499	0.09812863698003499	+
Carcinoma, Thyroid, Medullary	Dermatitis, Atopic	0.15962825808562683	0.15962825808562683	+
Cholangiocarcinoma	Dermatitis, Atopic	0.1288464897366747	0.1288464897366747	+
Chorioamnionitis	Dermatitis, Atopic	0.14077630940019675	0.14077630940019675	+
Choriocarcinoma	Dermatitis, Atopic	0.09835831295934014	0.09835831295934014	+
Colitis, Ulcerative	Dermatitis, Atopic	0.06305367976784032	0.06305367976784032	+
Demyelinating Diseases	Dermatitis, Atopic	0.09155577056002137	0.09155577056002137	+
Carcinoma, Thyroid, Follicular	Diabetes Mellitus	0.4845189520608057	0.4845189520608057	+
Autoimmune Diseases	Diabetes Mellitus, Type 1	-0.10581440970569993	0.10581440970569993	-
Carcinoma, Pancreatic Ductal	Diabetes Mellitus, Type 1	-0.08820286448887345	0.08820286448887345	-
Coronary Artery Disease	Diabetes Mellitus, Type 1	-0.09259370864362496	0.09259370864362496	-
Acquired Immunodeficiency Syndrome	Diabetes Mellitus, Type 2	-0.08262221000379012	0.08262221000379012	-
Adenocarcinoma, Esophageal	Diabetes Mellitus, Type 2	0.06728015390626724	0.06728015390626724	+
Adrenal Cortex Neoplasms	Diabetes Mellitus, Type 2	-0.07266880522870922	0.07266880522870922	-
Adrenocortical Carcinoma	Diabetes Mellitus, Type 2	0.059631553695979604	0.059631553695979604	+
Atrial Fibrillation	Diabetes Mellitus, Type 2	0.05009535386678554	0.05009535386678554	+
Barrett Esophagus	Diabetes Mellitus, Type 2	0.09167384927232335	0.09167384927232335	+
Carcinoma, Colon	Diabetes Mellitus, Type 2	-0.06383049741049268	0.06383049741049268	-
Carcinoma, Nasopharyngeal	Diabetes Mellitus, Type 2	0.05599871883026007	0.05599871883026007	+
Carcinoma, Thyroid, Follicular	Diabetes Mellitus, Type 2	0.19029804237829087	0.19029804237829087	+
Choriocarcinoma	Diabetes Mellitus, Type 2	0.06216322574374162	0.06216322574374162	+
Colitis, Ulcerative	Diabetes Mellitus, Type 2	-0.10744242195102532	0.10744242195102532	-
Diabetes Mellitus	Diabetes Mellitus, Type 2	0.10375989418894023	0.10375989418894023	+
Cardiomyopathy, Hypertrophic	Diabetic Cardiomyopathies	-0.050181194613509145	0.050181194613509145	-
Acquired Immunodeficiency Syndrome	Diabetic Nephropathies	0.14920436986390753	0.14920436986390753	+
Aortic Aneurysm, Abdominal	Diabetic Nephropathies	-0.055198016091505805	0.055198016091505805	-
Aortic Valve Insufficiency	Diabetic Nephropathies	0.12270893905392606	0.12270893905392606	+
Aortic Valve Stenosis	Diabetic Nephropathies	0.12270893905392606	0.12270893905392606	+
Arthritis, Rheumatoid	Diabetic Nephropathies	0.12063679129192463	0.12063679129192463	+
Atherosclerosis	Diabetic Nephropathies	0.054483630217559864	0.054483630217559864	+
Barrett Esophagus	Diabetic Nephropathies	0.13676968823263472	0.13676968823263472	+
Carcinoma, Colon	Diabetic Nephropathies	0.06890031788679153	0.06890031788679153	+
Carcinoma, Ehrlich Tumor	Diabetic Nephropathies	-0.08159202631267617	0.08159202631267617	-
Carcinoma, Endometrioid	Diabetic Nephropathies	-0.06415216190372529	0.06415216190372529	-
Carcinoma, Pancreatic	Diabetic Nephropathies	-0.08796574784873706	0.08796574784873706	-
Carcinoma, Squamous Cell	Diabetic Nephropathies	0.06369994063935368	0.06369994063935368	+
Crohn Disease	Diabetic Nephropathies	0.05038082007782475	0.05038082007782475	+
Adrenocortical Carcinoma	Digestive System Neoplasms	-0.07123929614206341	0.07123929614206341	-
Asthma	Digestive System Neoplasms	0.0778661449351469	0.0778661449351469	+
Biliary Tract Neoplasms	Digestive System Neoplasms	-0.05519879712964943	0.05519879712964943	-
Breast Neoplasms	Digestive System Neoplasms	0.06492684770027843	0.06492684770027843	+
Burkitt Lymphoma	Digestive System Neoplasms	0.0517558617984915	0.0517558617984915	+
Carcinoma, Non-Small-Cell Lung	Digestive System Neoplasms	0.07764470692758871	0.07764470692758871	+
Carcinoma, Pancreatic	Digestive System Neoplasms	-0.08189275281815475	0.08189275281815475	-
Cholesteatoma	Digestive System Neoplasms	-0.2186686555950802	0.2186686555950802	-
Colorectal Adenocarcinoma	Digestive System Neoplasms	0.129305964213144	0.129305964213144	+
Arthritis, Rheumatoid	Down Syndrome	0.07379762768230842	0.07379762768230842	+
Atherosclerosis	Down Syndrome	0.07007442057348863	0.07007442057348863	+
Carcinoma, Neuroendocrine	Down Syndrome	0.5940238232190025	0.5940238232190025	+
Colitis, Ulcerative	Down Syndrome	0.11859675346398028	0.11859675346398028	+
Crohn Disease	Down Syndrome	0.051510788144958776	0.051510788144958776	+
Demyelinating Diseases	Down Syndrome	0.5940238232190025	0.5940238232190025	+
Adenocarcinoma, Lung	Eclampsia	0.07252283461761053	0.07252283461761053	+
Aortic Valve Insufficiency	Eclampsia	-0.079306111764064	0.079306111764064	-
Aortic Valve Stenosis	Eclampsia	-0.079306111764064	0.079306111764064	-
Atherosclerosis	Eclampsia	0.09878775660051327	0.09878775660051327	+
Carcinoma, Adenoid Cystic	Eclampsia	-0.0704896196068512	0.0704896196068512	-
Carcinoma, Ductal	Eclampsia	0.05020825972477801	0.05020825972477801	+
Carcinoma, Skin Appendage	Eclampsia	0.05020825972477801	0.05020825972477801	+
Carcinoma, Thyroid, Medullary	Eclampsia	0.0781437684958012	0.0781437684958012	+
Cardiovascular Diseases	Eclampsia	0.12473661073785097	0.12473661073785097	+
Cholangiocarcinoma	Eclampsia	0.062366594919920575	0.062366594919920575	+
Colitis, Ulcerative	Eclampsia	-0.10152738180338658	0.10152738180338658	-
Dermatitis, Atopic	Eclampsia	0.05089259009809944	0.05089259009809944	+
Atherosclerosis	Endocrine Gland Neoplasms	0.12527632567818514	0.12527632567818514	+
Azoospermia	Endocrine Gland Neoplasms	-0.10750481068464583	0.10750481068464583	-
Barrett Esophagus	Endocrine Gland Neoplasms	0.0954318735829921	0.0954318735829921	+
Carcinoma, Ehrlich Tumor	Endocrine Gland Neoplasms	-0.06553944454440723	0.06553944454440723	-
Carcinoma, Endometrioid	Endocrine Gland Neoplasms	-0.09485351411901377	0.09485351411901377	-
Carcinoma, Ovarian	Endocrine Gland Neoplasms	0.051774469795356916	0.051774469795356916	+
Carcinoma, Thyroid, Papillary	Endocrine Gland Neoplasms	0.21574607987036404	0.21574607987036404	+
Diabetic Nephropathies	Endocrine Gland Neoplasms	0.0859818727581318	0.0859818727581318	+
Adenocarcinoma, Esophageal	Endometrial Neoplasms	0.06818612194715615	0.06818612194715615	+
Atherosclerosis	Endometrial Neoplasms	0.05024717018338061	0.05024717018338061	+
Barrett Esophagus	Endometrial Neoplasms	-0.08224650271911935	0.08224650271911935	-
Biliary Tract Neoplasms	Endometrial Neoplasms	-0.050881148771758686	0.050881148771758686	-
Carcinoma, Endometrioid	Endometrial Neoplasms	0.1921581680205125	0.1921581680205125	+
Endocrine Gland Neoplasms	Endometrial Neoplasms	-0.05932946730293907	0.05932946730293907	-
Alzheimer Disease	Endometriosis	-0.05870246625670836	0.05870246625670836	-
Asthenozoospermia	Endometriosis	-0.05081938118435644	0.05081938118435644	-
Barrett Esophagus	Endometriosis	0.10534203346711336	0.10534203346711336	+
Carcinoma, Endometrioid	Endometriosis	-0.06134091089178445	0.06134091089178445	-
Colorectal Neoplasms	Endometriosis	-0.05286651338803291	0.05286651338803291	-
Endometrial Neoplasms	Endometriosis	-0.08393611675806192	0.08393611675806192	-
Acquired Immunodeficiency Syndrome	Endotoxemia	0.11421049575010102	0.11421049575010102	+
Amyotrophic Lateral Sclerosis	Endotoxemia	-0.11114012256935553	0.11114012256935553	-
Atherosclerosis	Endotoxemia	-0.053481297489648104	0.053481297489648104	-
Carcinoma, Thyroid, Papillary	Endotoxemia	-0.054897941718956816	0.054897941718956816	-
Colitis, Ulcerative	Endotoxemia	-0.06964417556968026	0.06964417556968026	-
Diabetes Mellitus, Type 2	Endotoxemia	0.09116516379325935	0.09116516379325935	+
Digestive System Neoplasms	Endotoxemia	0.05178324773512002	0.05178324773512002	+
Adenocarcinoma, Esophageal	Eosinophilic Esophagitis	0.06737370236477384	0.06737370236477384	+
Amyotrophic Lateral Sclerosis	Eosinophilic Esophagitis	0.23487449141791109	0.23487449141791109	+
Aneurysm	Eosinophilic Esophagitis	-0.06449147555747778	0.06449147555747778	-
Aortic Aneurysm	Eosinophilic Esophagitis	0.18646324724068605	0.18646324724068605	+
Aortic Aneurysm, Abdominal	Eosinophilic Esophagitis	0.051905256223034255	0.051905256223034255	+
Arteriosclerosis Obliterans	Eosinophilic Esophagitis	-0.1798498900961874	0.1798498900961874	-
Arthritis, Rheumatoid	Eosinophilic Esophagitis	0.08813202736648748	0.08813202736648748	+
Atherosclerosis	Eosinophilic Esophagitis	0.20331785153602452	0.20331785153602452	+
