From	To	Distance	Type
Abortion, Habitual	Gerstmann-Straussler-Scheinker Disease	4	inter
Abortion, Habitual	Glaucoma	4	inter
Abortion, Habitual	Glioblastoma	4	inter
Abortion, Habitual	Glioma	3	inter
Abortion, Habitual	Glomerulonephritis	4	intra
Abortion, Habitual	Graft Rejection	2	inter
Abortion, Habitual	Graft vs Host Disease	3	inter
Abortion, Habitual	HIV Infections	4	inter
Abortion, Habitual	HIV-Associated Lipodystrophy Syndrome	3	inter
Abortion, Habitual	Head and Neck Neoplasms	3	inter
Abortion, Habitual	Heart Defects, Congenital	2	inter
Abortion, Habitual	Heart Diseases	4	inter
Abortion, Habitual	Heart Failure	3	inter
Abortion, Habitual	Helicobacter pylori	3	inter
Abortion, Habitual	Helplessness, Learned	3	inter
Abortion, Habitual	Hemangioma, Cavernous, Central Nervous System	3	inter
Abortion, Habitual	Hematologic Neoplasms	4	inter
Abortion, Habitual	Hepatitis B	3	inter
Abortion, Habitual	Hepatitis B, Chronic	4	inter
Abortion, Habitual	Hepatitis C	4	inter
Abortion, Habitual	Hepatitis C, Chronic	4	inter
Abortion, Habitual	Hepatitis, Alcoholic	4	inter
Abortion, Habitual	Hepatitis, Chronic	3	inter
Abortion, Habitual	Hepatoblastoma	3	inter
Abortion, Habitual	Hirschsprung Disease	3	inter
Abortion, Habitual	Hodgkin Disease	3	inter
Abortion, Habitual	Huntington Disease	4	inter
Abortion, Habitual	Hyperglycemia	2	inter
Abortion, Habitual	Hypertension, Pulmonary	3	inter
Abortion, Habitual	Hypertrophy	3	inter
Abortion, Habitual	Hypoxia-Ischemia, Brain	4	inter
Abortion, Habitual	Idiopathic Pulmonary Fibrosis	4	inter
Abortion, Habitual	Infection	4	inter
Abortion, Habitual	Inferior Wall Myocardial Infarction	3	inter
Abortion, Habitual	Infertility	4	intra
Abortion, Habitual	Infertility, Male	3	intra
Abortion, Habitual	Inflammation	3	inter
Abortion, Habitual	Inflammatory Bowel Diseases	4	inter
Abortion, Habitual	Intervertebral Disc Degeneration	4	inter
Abortion, Habitual	Ischemia	4	inter
Abortion, Habitual	Kidney Diseases	3	intra
Abortion, Habitual	Kidney Failure, Chronic	3	intra
Abortion, Habitual	Kidney Neoplasms	4	inter
Abortion, Habitual	Laryngeal Neoplasms	3	inter
Abortion, Habitual	Leukemia	3	inter
Abortion, Habitual	Leukemia, B-Cell	3	inter
Abortion, Habitual	Leukemia, Biphenotypic, Acute	4	inter
Abortion, Habitual	Leukemia, Lymphocytic, Chronic, B-Cell	3	inter
Abortion, Habitual	Leukemia, Lymphoid	2	inter
Abortion, Habitual	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	3	inter
Abortion, Habitual	Leukemia, Myeloid	5	inter
Abortion, Habitual	Leukemia, Myeloid, Acute	3	inter
Abortion, Habitual	Leukemia, Promyelocytic, Acute	3	inter
Abortion, Habitual	Leukemia-Lymphoma, Adult T-Cell	4	inter
Abortion, Habitual	Lichen Planus	3	inter
Abortion, Habitual	Lichen Planus, Oral	4	inter
Abortion, Habitual	Liver Cirrhosis	4	inter
Abortion, Habitual	Liver Cirrhosis, Biliary	4	inter
Abortion, Habitual	Liver Diseases	4	inter
Abortion, Habitual	Liver Diseases, Alcoholic	3	inter
Abortion, Habitual	Liver Failure	4	inter
Abortion, Habitual	Liver Neoplasms	1	inter
Abortion, Habitual	Lung Diseases, Interstitial	3	inter
Abortion, Habitual	Lung Neoplasms	3	inter
Abortion, Habitual	Lupus Erythematosus, Systemic	3	inter
Abortion, Habitual	Lupus Nephritis	4	inter
Abortion, Habitual	Lymphoma	2	inter
Abortion, Habitual	Lymphoma, B-Cell	3	inter
Abortion, Habitual	Lymphoma, Large B-Cell, Diffuse	3	inter
Abortion, Habitual	Lymphoma, Mantle-Cell	4	inter
Abortion, Habitual	Lymphoma, Non-Hodgkin	4	inter
Abortion, Habitual	Lymphoma, Primary Effusion	4	inter
Abortion, Habitual	Lymphoma, T-Cell	3	inter
Abortion, Habitual	Macular Degeneration	3	inter
Abortion, Habitual	Medulloblastoma	3	inter
Abortion, Habitual	Melanoma	4	inter
Abortion, Habitual	Meningioma	4	inter
Abortion, Habitual	Mesothelioma	3	inter
Abortion, Habitual	Mouth Neoplasms	4	inter
Abortion, Habitual	Mucocutaneous Lymph Node Syndrome	3	inter
Abortion, Habitual	Multiple Endocrine Neoplasia Type 1	4	inter
Abortion, Habitual	Multiple Myeloma	3	inter
Abortion, Habitual	Multiple Sclerosis	3	inter
Abortion, Habitual	Muscular Atrophy	2	inter
Abortion, Habitual	Muscular Atrophy, Spinal	3	inter
Abortion, Habitual	Muscular Dystrophies	4	inter
Abortion, Habitual	Muscular Dystrophy, Facioscapulohumeral	4	inter
Abortion, Habitual	Musculoskeletal Abnormalities	3	inter
Abortion, Habitual	Mycosis Fungoides	3	inter
Abortion, Habitual	Myelodysplastic Syndromes	3	inter
Abortion, Habitual	Myocardial Infarction	3	inter
Abortion, Habitual	Myocardial Ischemia	4	inter
Abortion, Habitual	Myocardial Reperfusion Injury	3	inter
Abortion, Habitual	Myositis	3	inter
Abortion, Habitual	Myotonic Dystrophy	3	inter
Abortion, Habitual	Nasopharyngeal Neoplasms	3	inter
Abortion, Habitual	Neoplasms	3	inter
Abortion, Habitual	Nephrosclerosis	3	intra
Abortion, Habitual	Nephrotic Syndrome	3	intra
Abortion, Habitual	Nervous System Diseases	3	inter
Abortion, Habitual	Neurilemmoma	3	inter
Abortion, Habitual	Neuroblastoma	3	inter
Abortion, Habitual	Neurodegenerative Diseases	5	inter
Abortion, Habitual	Neuroma	3	inter
Abortion, Habitual	Neurotoxicity Syndromes	2	inter
Abortion, Habitual	Niemann-Pick Disease, Type C	3	inter
Abortion, Habitual	Non-alcoholic Fatty Liver Disease	4	inter
Abortion, Habitual	Obesity	3	inter
Abortion, Habitual	Osteoarthritis	3	inter
Abortion, Habitual	Osteoarthritis, Knee	4	inter
Abortion, Habitual	Osteogenesis Imperfecta	4	inter
Abortion, Habitual	Osteonecrosis	4	inter
Abortion, Habitual	Osteoporosis	4	inter
Abortion, Habitual	Osteosarcoma	3	inter
Abortion, Habitual	Otitis Media	4	inter
Abortion, Habitual	Ovarian Neoplasms	4	inter
Abortion, Habitual	Pancreatic Neoplasms	4	inter
Abortion, Habitual	Pancreatitis, Acute Necrotizing	4	inter
Abortion, Habitual	Papillomaviridae	4	inter
Abortion, Habitual	Parkinson Disease	2	inter
Abortion, Habitual	Periodontal Diseases	4	inter
Abortion, Habitual	Periodontitis	4	inter
Abortion, Habitual	Peritonitis	4	inter
Abortion, Habitual	Pheochromocytoma	3	inter
Abortion, Habitual	Pituitary Neoplasms	3	inter
Abortion, Habitual	Polycystic Ovary Syndrome	4	inter
Abortion, Habitual	Polycythemia Vera	4	inter
Abortion, Habitual	Pre-Eclampsia	3	intra
Abortion, Habitual	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	4	inter
Abortion, Habitual	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	3	inter
Abortion, Habitual	Pregnancy, Ectopic	4	intra
Abortion, Habitual	Prion Diseases	4	inter
Abortion, Habitual	Prostatic Neoplasms	3	inter
Abortion, Habitual	Psoriasis	3	inter
Abortion, Habitual	Pulmonary Disease, Chronic Obstructive	3	inter
Abortion, Habitual	Pulmonary Fibrosis	3	inter
Abortion, Habitual	Rectal Neoplasms	3	inter
Abortion, Habitual	Reperfusion Injury	3	inter
Abortion, Habitual	Respiratory Distress Syndrome, Adult	2	inter
Abortion, Habitual	Respiratory Syncytial Virus Infections	4	inter
Abortion, Habitual	Retinal Degeneration	4	inter
Abortion, Habitual	Retinal Neovascularization	3	inter
Abortion, Habitual	Retinitis Pigmentosa	3	inter
Abortion, Habitual	Retinoblastoma	3	inter
Abortion, Habitual	Rhabdomyosarcoma	3	inter
Abortion, Habitual	Rhinitis, Allergic	4	inter
Abortion, Habitual	Rhinitis, Allergic, Perennial	3	inter
Abortion, Habitual	Rhinitis, Vasomotor	4	inter
Abortion, Habitual	Salivary Gland Neoplasms	4	inter
Abortion, Habitual	Salmonella Infections	4	inter
Abortion, Habitual	Sarcoma	3	inter
Abortion, Habitual	Sarcoma, Ewing	4	inter
Abortion, Habitual	Sarcoma, Kaposi	4	inter
Abortion, Habitual	Sarcoma, Synovial	4	inter
Abortion, Habitual	Schistosomiasis japonica	4	inter
Abortion, Habitual	Schizophrenia	2	inter
Abortion, Habitual	Scleroderma, Localized	3	inter
Abortion, Habitual	Scleroderma, Systemic	3	inter
Abortion, Habitual	Seizures	3	inter
Abortion, Habitual	Seminoma	1	inter
Abortion, Habitual	Sepsis	3	inter
Abortion, Habitual	Sezary Syndrome	3	inter
Abortion, Habitual	Shock, Hemorrhagic	4	inter
Abortion, Habitual	Sjogren's Syndrome	4	inter
Abortion, Habitual	Small Cell Lung Carcinoma	3	inter
Abortion, Habitual	Solitary Fibrous Tumor, Pleural	3	inter
Abortion, Habitual	Spinal Cord Injuries	3	inter
Abortion, Habitual	Spinal Stenosis	4	inter
Abortion, Habitual	Spondylitis, Ankylosing	4	inter
Abortion, Habitual	Squamous Cell Carcinoma, Esophageal	2	inter
Abortion, Habitual	Squamous Cell Carcinoma, Head and Neck	3	inter
Abortion, Habitual	Stomach Neoplasms	4	inter
Abortion, Habitual	Stroke	4	inter
Abortion, Habitual	Subarachnoid Hemorrhage	4	inter
Abortion, Habitual	Telangiectasia, Hereditary Hemorrhagic	4	inter
Abortion, Habitual	Testicular Neoplasms	2	inter
Abortion, Habitual	Thrombocythemia, Essential	3	inter
Abortion, Habitual	Thyroid Carcinoma, Anaplastic	4	inter
Abortion, Habitual	Thyroid Neoplasms	3	inter
Abortion, Habitual	Thyroiditis, Autoimmune	4	inter
Abortion, Habitual	Toxoplasmosis	4	inter
Abortion, Habitual	Triple Negative Breast Neoplasms	3	inter
Abortion, Habitual	Tuberculosis	4	inter
Abortion, Habitual	Urinary Bladder Neoplasms	4	inter
Abortion, Habitual	Uterine Cervical Neoplasms	3	inter
Abortion, Habitual	Uveal Melanoma	4	inter
Abortion, Habitual	Vitiligo	3	inter
Abortion, Habitual	Waldenstrom Macroglobulinemia	3	inter
Acquired Immunodeficiency Syndrome	Acute Kidney Injury	2	inter
Acquired Immunodeficiency Syndrome	Acute Lung Injury	2	inter
Acquired Immunodeficiency Syndrome	Adenocarcinoma, Esophageal	2	inter
Acquired Immunodeficiency Syndrome	Adenocarcinoma, Lung	2	inter
Acquired Immunodeficiency Syndrome	Adenoviridae Infections	4	inter
Acquired Immunodeficiency Syndrome	Adrenal Cortex Neoplasms	2	inter
Acquired Immunodeficiency Syndrome	Adrenocortical Carcinoma	2	inter
Acquired Immunodeficiency Syndrome	Alopecia	2	inter
Acquired Immunodeficiency Syndrome	Alzheimer Disease	2	inter
Acquired Immunodeficiency Syndrome	Amyotrophic Lateral Sclerosis	2	inter
Acquired Immunodeficiency Syndrome	Aneurysm	2	inter
Acquired Immunodeficiency Syndrome	Aortic Aneurysm	2	inter
Acquired Immunodeficiency Syndrome	Aortic Aneurysm, Abdominal	1	inter
Acquired Immunodeficiency Syndrome	Aortic Aneurysm, Thoracic	2	inter
Acquired Immunodeficiency Syndrome	Aortic Valve Insufficiency	2	inter
Acquired Immunodeficiency Syndrome	Aortic Valve Stenosis	2	inter
Acquired Immunodeficiency Syndrome	Arbovirus Infections	3	inter
Acquired Immunodeficiency Syndrome	Arteriosclerosis Obliterans	2	inter
Acquired Immunodeficiency Syndrome	Arthritis, Rheumatoid	1	intra
Acquired Immunodeficiency Syndrome	Asthenozoospermia	3	inter
Acquired Immunodeficiency Syndrome	Asthma	2	intra
Acquired Immunodeficiency Syndrome	Astrocytoma	2	inter
Acquired Immunodeficiency Syndrome	Atherosclerosis	2	inter
Acquired Immunodeficiency Syndrome	Atrial Fibrillation	2	inter
Acquired Immunodeficiency Syndrome	Autism Spectrum Disorder	3	inter
Acquired Immunodeficiency Syndrome	Autoimmune Diseases	2	intra
Acquired Immunodeficiency Syndrome	Azoospermia	3	inter
Acquired Immunodeficiency Syndrome	Barrett Esophagus	2	inter
Acquired Immunodeficiency Syndrome	Behcet Syndrome	4	inter
Acquired Immunodeficiency Syndrome	Biliary Tract Neoplasms	2	inter
Acquired Immunodeficiency Syndrome	Brain Ischemia	3	inter
Acquired Immunodeficiency Syndrome	Breast Neoplasms	3	inter
Acquired Immunodeficiency Syndrome	Bronchiolitis Obliterans	2	inter
Acquired Immunodeficiency Syndrome	Burkitt Lymphoma	2	inter
Acquired Immunodeficiency Syndrome	Burns	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Adenoid Cystic	3	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Basal Cell	3	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Colon	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Ductal	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Ehrlich Tumor	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Endometrioid	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Hepatocellular	3	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Merkel Cell	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Nasopharyngeal	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Neuroendocrine	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Non-Small-Cell Lung	3	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Ovarian	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Pancreatic	1	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Pancreatic Ductal	3	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Renal Cell	3	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Signet Ring Cell	3	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Skin Appendage	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Squamous Cell	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Thyroid, Follicular	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Thyroid, Medullary	2	inter
Acquired Immunodeficiency Syndrome	Carcinoma, Thyroid, Papillary	2	inter
Acquired Immunodeficiency Syndrome	Cardiomegaly	2	inter
Acquired Immunodeficiency Syndrome	Cardiomyopathy, Alcoholic	3	inter
Acquired Immunodeficiency Syndrome	Cardiomyopathy, Dilated	2	inter
Acquired Immunodeficiency Syndrome	Cardiomyopathy, Hypertrophic	2	inter
Acquired Immunodeficiency Syndrome	Cardiotoxicity	3	inter
Acquired Immunodeficiency Syndrome	Cardiovascular Diseases	2	inter
Acquired Immunodeficiency Syndrome	Cataract	2	inter
Acquired Immunodeficiency Syndrome	Cholangiocarcinoma	2	inter
Acquired Immunodeficiency Syndrome	Cholesteatoma	2	inter
Acquired Immunodeficiency Syndrome	Chondrosarcoma	2	inter
Acquired Immunodeficiency Syndrome	Chordoma	2	inter
Acquired Immunodeficiency Syndrome	Chorioamnionitis	1	inter
Acquired Immunodeficiency Syndrome	Choriocarcinoma	1	inter
Acquired Immunodeficiency Syndrome	Colitis	3	inter
Acquired Immunodeficiency Syndrome	Colitis, Ulcerative	2	inter
Acquired Immunodeficiency Syndrome	Colonic Neoplasms	3	inter
Acquired Immunodeficiency Syndrome	Colorectal Adenocarcinoma	2	inter
Acquired Immunodeficiency Syndrome	Colorectal Neoplasms	3	inter
Acquired Immunodeficiency Syndrome	Constriction, Pathologic	2	inter
Acquired Immunodeficiency Syndrome	Coronary Artery Disease	2	inter
Acquired Immunodeficiency Syndrome	Creutzfeldt-Jakob Syndrome	2	inter
Acquired Immunodeficiency Syndrome	Crohn Disease	2	inter
Acquired Immunodeficiency Syndrome	Cutaneous Melanoma	2	inter
Acquired Immunodeficiency Syndrome	Cystitis, Interstitial	3	inter
Acquired Immunodeficiency Syndrome	Cytomegalovirus Retinitis	2	inter
Acquired Immunodeficiency Syndrome	Demyelinating Diseases	2	inter
Acquired Immunodeficiency Syndrome	Dermatitis, Atopic	1	intra
Acquired Immunodeficiency Syndrome	Diabetes Mellitus	2	inter
Acquired Immunodeficiency Syndrome	Diabetes Mellitus, Type 1	2	intra
Acquired Immunodeficiency Syndrome	Diabetes Mellitus, Type 2	1	inter
Acquired Immunodeficiency Syndrome	Diabetic Cardiomyopathies	3	inter
Acquired Immunodeficiency Syndrome	Diabetic Nephropathies	1	inter
Acquired Immunodeficiency Syndrome	Digestive System Neoplasms	2	inter
Acquired Immunodeficiency Syndrome	Down Syndrome	2	inter
Acquired Immunodeficiency Syndrome	Eclampsia	2	inter
Acquired Immunodeficiency Syndrome	Endocrine Gland Neoplasms	2	inter
Acquired Immunodeficiency Syndrome	Endometrial Neoplasms	3	inter
Acquired Immunodeficiency Syndrome	Endometriosis	2	inter
Acquired Immunodeficiency Syndrome	Endotoxemia	1	inter
Acquired Immunodeficiency Syndrome	Eosinophilic Esophagitis	2	intra
Acquired Immunodeficiency Syndrome	Ependymoma	2	inter
Acquired Immunodeficiency Syndrome	Epilepsy, Temporal Lobe	2	inter
Acquired Immunodeficiency Syndrome	Epstein-Barr Virus Infections	3	inter
Acquired Immunodeficiency Syndrome	Esophageal Neoplasms	2	inter
Acquired Immunodeficiency Syndrome	Esophagitis	2	inter
Acquired Immunodeficiency Syndrome	Fatty Liver	3	inter
Acquired Immunodeficiency Syndrome	Fibromatosis, Aggressive	2	inter
Acquired Immunodeficiency Syndrome	Fibromyalgia	1	inter
Acquired Immunodeficiency Syndrome	Follicular Atresia	2	inter
Acquired Immunodeficiency Syndrome	Gastrointestinal Neoplasms	3	inter
Acquired Immunodeficiency Syndrome	Gaucher Disease	2	inter
Acquired Immunodeficiency Syndrome	Gerstmann-Straussler-Scheinker Disease	2	inter
Acquired Immunodeficiency Syndrome	Glaucoma	3	inter
Acquired Immunodeficiency Syndrome	Glioblastoma	3	inter
Acquired Immunodeficiency Syndrome	Glioma	3	inter
Acquired Immunodeficiency Syndrome	Glomerulonephritis	2	inter
Acquired Immunodeficiency Syndrome	Graft Rejection	2	inter
Acquired Immunodeficiency Syndrome	Graft vs Host Disease	2	intra
Acquired Immunodeficiency Syndrome	HIV Infections	1	intra
Acquired Immunodeficiency Syndrome	HIV-Associated Lipodystrophy Syndrome	3	intra
Acquired Immunodeficiency Syndrome	Head and Neck Neoplasms	2	inter
Acquired Immunodeficiency Syndrome	Heart Defects, Congenital	2	inter
Acquired Immunodeficiency Syndrome	Heart Diseases	3	inter
Acquired Immunodeficiency Syndrome	Heart Failure	1	inter
Acquired Immunodeficiency Syndrome	Helicobacter pylori	1	inter
Acquired Immunodeficiency Syndrome	Helplessness, Learned	2	inter
Acquired Immunodeficiency Syndrome	Hemangioma, Cavernous, Central Nervous System	2	inter
Acquired Immunodeficiency Syndrome	Hematologic Neoplasms	2	inter
Acquired Immunodeficiency Syndrome	Hepatitis B	2	inter
Acquired Immunodeficiency Syndrome	Hepatitis B, Chronic	2	inter
Acquired Immunodeficiency Syndrome	Hepatitis C	2	inter
Acquired Immunodeficiency Syndrome	Hepatitis C, Chronic	2	inter
Acquired Immunodeficiency Syndrome	Hepatitis, Alcoholic	3	inter
Acquired Immunodeficiency Syndrome	Hepatitis, Chronic	2	inter
Acquired Immunodeficiency Syndrome	Hepatoblastoma	2	inter
Acquired Immunodeficiency Syndrome	Hirschsprung Disease	2	inter
Acquired Immunodeficiency Syndrome	Hodgkin Disease	2	inter
Acquired Immunodeficiency Syndrome	Huntington Disease	2	inter
Acquired Immunodeficiency Syndrome	Hyperglycemia	3	inter
Acquired Immunodeficiency Syndrome	Hypertension, Pulmonary	2	inter
Acquired Immunodeficiency Syndrome	Hypertrophy	2	inter
Acquired Immunodeficiency Syndrome	Hypoxia-Ischemia, Brain	3	inter
Acquired Immunodeficiency Syndrome	Idiopathic Pulmonary Fibrosis	3	inter
Acquired Immunodeficiency Syndrome	Infection	3	inter
Acquired Immunodeficiency Syndrome	Inferior Wall Myocardial Infarction	2	inter
Acquired Immunodeficiency Syndrome	Infertility	2	inter
Acquired Immunodeficiency Syndrome	Infertility, Male	3	inter
Acquired Immunodeficiency Syndrome	Inflammation	2	inter
Acquired Immunodeficiency Syndrome	Inflammatory Bowel Diseases	2	inter
Acquired Immunodeficiency Syndrome	Intervertebral Disc Degeneration	3	inter
Acquired Immunodeficiency Syndrome	Ischemia	2	inter
Acquired Immunodeficiency Syndrome	Kidney Diseases	3	inter
Acquired Immunodeficiency Syndrome	Kidney Failure, Chronic	2	inter
Acquired Immunodeficiency Syndrome	Kidney Neoplasms	3	inter
Acquired Immunodeficiency Syndrome	Laryngeal Neoplasms	2	inter
Acquired Immunodeficiency Syndrome	Leukemia	2	inter
Acquired Immunodeficiency Syndrome	Leukemia, B-Cell	3	inter
Acquired Immunodeficiency Syndrome	Leukemia, Biphenotypic, Acute	3	inter
Acquired Immunodeficiency Syndrome	Leukemia, Lymphocytic, Chronic, B-Cell	2	inter
Acquired Immunodeficiency Syndrome	Leukemia, Lymphoid	3	inter
Acquired Immunodeficiency Syndrome	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	2	inter
Acquired Immunodeficiency Syndrome	Leukemia, Myeloid	4	inter
Acquired Immunodeficiency Syndrome	Leukemia, Myeloid, Acute	2	inter
Acquired Immunodeficiency Syndrome	Leukemia, Promyelocytic, Acute	1	inter
Acquired Immunodeficiency Syndrome	Leukemia-Lymphoma, Adult T-Cell	2	inter
Acquired Immunodeficiency Syndrome	Lichen Planus	1	inter
Acquired Immunodeficiency Syndrome	Lichen Planus, Oral	2	inter
Acquired Immunodeficiency Syndrome	Liver Cirrhosis	2	inter
Acquired Immunodeficiency Syndrome	Liver Cirrhosis, Biliary	2	inter
Acquired Immunodeficiency Syndrome	Liver Diseases	2	inter
Acquired Immunodeficiency Syndrome	Liver Diseases, Alcoholic	2	inter
